name,id,leaning
Tim Kellner,UCOQFfcGRc886dXP2Oyt5OEg,right
"Achtung, Reichelt!",UCcoQ3WG2J_Xjwwyt-sJqh-w,right
COMPACTTV,UCgvFsn6bRKqND1cW3HpzDrA,right
AfD TV,UCq2rogaxLtQFrYG3X3KYNww,right
Ketzer der Neuzeit,UCjvVn-oLzoY0aZhVvdQPSTQ,right
DW Deutsch,UCMIgOXM2JEQ2Pv2d0_PVfcg,middle
Bundeszentrale für politische Bildung / bpb,UCKE_un0UNf7F_gYc_C_Yndw,middle
MAITHINK X,UCyHDQ5C6z1NDmJ4g6SerW8g,middle
MrWissen2go,UCZHpIFMfoJJ_1QxNGLJTzyA,middle
ZDFheute Nachrichten,UCeqKIgPQfNInOswGRWt48kQ,middle
Jung & Naiv,UCv1WDP5EiipMQ__C4Cg6aow,left
DIE LINKE,UCA95T5bSGxNOAODBdbR2rYQ,left
Wohlstand für Alle,UCRprqV4FxwrWQJbZ0VLFS_g,left
Nico Semsrott,UC_bMh2cqdwioGicb_zbdevw,left
Datteltäter,UCF_oOFgq8qwi7HRGTJSsZ-g,left
